icd_code,disease_name,chapter,synonyms,short_desc
H209,Unspecified iridocyclitis,Eye and ear,,
H219,Unspecified disorder of iris and ciliary body,Eye and ear,,
H259,Unspecified age-related cataract,Eye and ear,,
H268,Other specified cataract,Eye and ear,,
H278,Other specified disorders of lens,Eye and ear,,
H318,Other specified disorders of choroid,Eye and ear,,
H338,Other retinal detachments,Eye and ear,,
H349,Unspecified retinal vascular occlusion,Eye and ear,,
H359,Unspecified retinal disorder,Eye and ear,,
H409,Unspecified glaucoma,Eye and ear,,
H439,Unspecified disorder of vitreous body,Eye and ear,,
H449,Unspecified disorder of globe,Eye and ear,,
H462,Nutritional optic neuropathy,Eye and ear,,
H479,Unspecified disorder of visual pathways,Eye and ear,,
H499,Unspecified paralytic strabismus,Eye and ear,,
H509,Unspecified strabismus,Eye and ear,,
H510,Palsy (spasm) of conjugate gaze,Eye and ear,,
H524,Presbyopia,Eye and ear,,
H532,Diplopia,Eye and ear,,
H543,"Unqualified visual loss, both eyes",Eye and ear,,
H579,Unspecified disorder of eye and adnexa,Eye and ear,,
H671,"Otitis media in diseases classified elsewhere, right ear",Eye and ear,,
H814,Vertigo of central origin,Eye and ear,,
H821,"Vertiginous syndromes in diseases classified elsewhere, right ear",Eye and ear,,
H900,"Conductive hearing loss, bilateral",Eye and ear,,
H913,"Deaf nonspeaking, not elsewhere classified",Eye and ear,,
I010,Acute rheumatic pericarditis,Cardiovascular,,
I020,Rheumatic chorea with heart involvement,Cardiovascular,,
I050,Rheumatic mitral stenosis,Cardiovascular,,
I060,Rheumatic aortic stenosis,Cardiovascular,,
I070,Rheumatic tricuspid stenosis,Cardiovascular,,
I080,Rheumatic disorders of both mitral and aortic valves,Cardiovascular,,
I090,Rheumatic myocarditis,Cardiovascular,,
I110,Hypertensive heart disease with heart failure,Cardiovascular,,
I120,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,Cardiovascular,,
I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",Cardiovascular,,
I150,Renovascular hypertension,Cardiovascular,,
I160,Hypertensive urgency,Cardiovascular,,
I1A0,Resistant hypertension,Cardiovascular,,
I200,Unstable angina,Cardiovascular,,
I213,ST elevation (STEMI) myocardial infarction of unspecified site,Cardiovascular,,
I220,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall,Cardiovascular,arrhythmia|Arrhythmia disorder|Arrhythmia disease,Arrhythmia within Diseases of the circulatory system. Category-level grouping.
I230,Hemopericardium as current complication following acute myocardial infarction,Cardiovascular,,
I240,Acute coronary thrombosis not resulting in myocardial infarction,Cardiovascular,,
I252,Old myocardial infarction,Cardiovascular,,
I270,Primary pulmonary hypertension,Cardiovascular,,
I280,Arteriovenous fistula of pulmonary vessels,Cardiovascular,,
I300,Acute nonspecific idiopathic pericarditis,Cardiovascular,,
I310,Chronic adhesive pericarditis,Cardiovascular,,
I330,Acute and subacute infective endocarditis,Cardiovascular,,
I340,Nonrheumatic mitral (valve) insufficiency,Cardiovascular,,
I350,Nonrheumatic aortic (valve) stenosis,Cardiovascular,,
I360,Nonrheumatic tricuspid (valve) stenosis,Cardiovascular,,
I370,Nonrheumatic pulmonary valve stenosis,Cardiovascular,hypertensive disease|Hypertensive disease disorder|Hypertensive disease disease,Hypertensive disease within Diseases of the circulatory system. Category-level grouping.
I400,Infective myocarditis,Cardiovascular,,
I420,Dilated cardiomyopathy,Cardiovascular,,
I440,"Atrioventricular block, first degree",Cardiovascular,,
I450,Right fascicular block,Cardiovascular,,
I462,Cardiac arrest due to underlying cardiac condition,Cardiovascular,,
I470,Re-entry ventricular arrhythmia,Cardiovascular,,
I480,Paroxysmal atrial fibrillation,Cardiovascular,,
I491,Atrial premature depolarization,Cardiovascular,,
I501,"Left ventricular failure, unspecified",Cardiovascular,,
I510,"Cardiac septal defect, acquired",Cardiovascular,,
I602,Nontraumatic subarachnoid hemorrhage from anterior communicating artery,Cardiovascular,,
I610,"Nontraumatic intracerebral hemorrhage in hemisphere, subcortical",Cardiovascular,,
